timestamp,q_w,q_x,q_y,q_z
1769060515.6200638,,,,
1769060515.6700745,,,,
1769060515.8011208,,,,
1769060515.907815,,,,
1769060516.0117705,,,,
1769060516.1186597,,,,
1769060516.2242885,,,,
1769060516.3281329,,,,
1769060516.4346786,,,,
1769060516.5413895,,,,
1769060516.6470232,,,,
1769060516.7548048,,,,
1769060516.8622448,,,,
1769060516.9694211,,,,
1769060517.0749342,,,,
1769060517.1811333,,,,
1769060517.285917,,,,
1769060517.3922255,,,,
1769060517.4979324,,,,
1769060517.6032035,,,,
1769060517.708438,,,,
1769060517.8155077,,,,
1769060517.9203026,,,,
1769060518.02758,,,,
1769060518.1401057,,,,
1769060518.227831,,,,
1769060518.3338358,,,,
1769060518.440153,,,,
1769060518.5461154,,,,
1769060518.6524935,,,,
1769060518.7587757,,,,
1769060518.865273,,,,
1769060518.9708009,,,,
1769060519.0757005,,,,
1769060519.1827717,,,,
1769060519.2892027,,,,
1769060519.391984,,,,
1769060519.4988496,,,,
1769060519.6042058,,,,
1769060519.7092361,,,,
1769060519.814965,,,,
1769060519.922549,,,,
1769060520.0291727,,,,
1769060520.1352065,,,,
1769060520.2399926,,,,
1769060520.3462443,,,,
1769060520.4506056,,,,
1769060520.5567772,,,,
1769060520.6616154,,,,
1769060520.7671192,,,,
1769060520.8700233,,,,
1769060520.972815,,,,
1769060521.0745776,,,,
1769060521.1781597,,,,
1769060521.280594,,,,
1769060521.3833487,,,,
1769060521.4853356,,,,
1769060521.5892816,,,,
1769060521.6903245,,,,
1769060521.7950892,,,,
1769060521.8995342,,,,
1769060522.0062628,,,,
1769060522.1116838,,,,
1769060522.2182229,,,,
1769060522.3253706,,,,
1769060522.4324098,,,,
1769060522.53752,,,,
1769060522.644191,,,,
1769060522.7507641,,,,
1769060522.858668,,,,
1769060522.9648964,,,,
1769060523.0731328,,,,
1769060523.1852841,,,,
1769060523.2801974,,,,
1769060523.3858516,,,,
1769060523.4934118,,,,
1769060523.6002924,,,,
1769060523.7075748,,,,
1769060523.813001,,,,
1769060523.9215345,,,,
1769060524.0280478,,,,
1769060524.1359324,,,,
1769060524.242776,,,,
1769060524.347952,,,,
1769060524.4536366,,,,
1769060524.5580041,,,,
1769060524.6620357,,,,
1769060524.764947,,,,
1769060524.869365,,,,
1769060524.9738407,,,,
1769060525.0782213,,,,
1769060525.1839185,,,,
1769060525.2886364,,,,
1769060525.3938477,,,,
1769060525.4999564,,,,
1769060525.6068401,,,,
1769060525.7122247,,,,
1769060525.8190594,,,,
1769060525.925802,,,,
1769060526.0326853,,,,
1769060526.139327,,,,
1769060526.245627,,,,
1769060526.351198,,,,
1769060526.4581997,,,,
1769060526.5635192,,,,
1769060526.6701424,,,,
1769060526.7763588,,,,
1769060526.8832788,,,,
1769060526.9861197,,,,
1769060527.0924022,,,,
1769060527.1978621,,,,
1769060527.304401,,,,
1769060527.4096048,,,,
1769060527.51563,,,,
1769060527.6205108,,,,
1769060527.7266011,,,,
1769060527.8323436,,,,
1769060527.938138,,,,
1769060528.0441484,,,,
1769060528.1512232,,,,
1769060528.2592292,,,,
1769060528.358546,,,,
1769060528.4638748,,,,
1769060528.5692677,,,,
1769060528.673908,,,,
1769060528.777012,,,,
1769060528.8804567,,,,
1769060528.9841607,,,,
1769060529.0853932,,,,
1769060529.1879592,,,,
1769060529.2890394,,,,
1769060529.391394,,,,
1769060529.4914458,,,,
1769060776.9928236,-0.20068359375,-0.415771484375,-0.159423828125,0.87261962890625
1769060777.0605838,-0.201416015625,-0.4149169921875,-0.16015625,0.87274169921875
1769060777.1971388,-0.2027587890625,-0.413818359375,-0.162109375,0.87255859375
1769060777.301894,-0.204345703125,-0.41290283203125,-0.16253662109375,0.87255859375
1769060777.4095452,-0.2056884765625,-0.41119384765625,-0.16314697265625,0.8729248046875
1769060777.5161052,-0.20526123046875,-0.4088134765625,-0.16131591796875,0.87445068359375
1769060777.6231043,-0.20306396484375,-0.40606689453125,-0.1536865234375,0.87762451171875
1769060777.7286348,-0.1995849609375,-0.40374755859375,-0.148681640625,0.88037109375
1769060777.835761,-0.19403076171875,-0.4010009765625,-0.13958740234375,0.88433837890625
1769060777.9409194,-0.18414306640625,-0.39874267578125,-0.1256103515625,0.8895263671875
1769060778.048505,-0.17205810546875,-0.3988037109375,-0.112548828125,0.8936767578125
1769060778.1553462,-0.156982421875,-0.397216796875,-0.099853515625,0.898681640625
1769060778.2629406,-0.14599609375,-0.393798828125,-0.082763671875,0.90374755859375
1769060778.367046,-0.13128662109375,-0.39483642578125,-0.06390380859375,0.9071044921875
1769060778.4753249,-0.11419677734375,-0.39691162109375,-0.0411376953125,0.9097900390625
1769060778.5822427,1.89849853515625,-0.39764404296875,-0.0235595703125,0.91162109375
1769060778.6888962,-0.08587646484375,-0.39990234375,0.0,0.91253662109375
1769060778.794223,-0.07586669921875,-0.40191650390625,0.01385498046875,0.91241455078125
1769060778.9020815,-0.0693359375,-0.406005859375,0.02459716796875,0.910888671875
1769060779.0074065,-0.06390380859375,-0.4117431640625,0.03515625,0.90838623046875
1769060779.113871,-0.05780029296875,-0.4229736328125,0.04315185546875,0.90325927734375
1769060779.2196748,-0.05572509765625,-0.43206787109375,0.045654296875,0.89898681640625
1769060779.3262763,-0.053466796875,-0.44140625,0.0421142578125,0.89471435546875
1769060779.4316494,-0.05224609375,-0.4576416015625,0.03936767578125,0.88671875
1769060779.540556,-0.04986572265625,-0.47454833984375,0.0289306640625,0.8782958984375
1769060779.646503,-0.04791259765625,-0.48785400390625,0.02813720703125,0.87115478515625
1769060779.7542787,-0.04827880859375,-0.5008544921875,0.0247802734375,0.86383056640625
1769060779.8609488,-0.0498046875,-0.515380859375,0.015625,0.8553466796875
1769060779.9671073,-0.046630859375,-0.53448486328125,0.00579833984375,0.8438720703125
1769060780.0706513,-0.04150390625,-0.54644775390625,0.00946044921875,0.83642578125
1769060780.177363,-0.04022216796875,-0.55914306640625,0.007080078125,0.82806396484375
1769060780.283344,-0.0399169921875,-0.57720947265625,0.00567626953125,0.8155517578125
1769060780.3897707,-0.03521728515625,-0.59637451171875,0.00482177734375,0.80194091796875
1769060780.495666,-0.03485107421875,-0.61895751953125,0.0042724609375,0.78460693359375
1769060780.6032455,-0.02752685546875,-0.6302490234375,0.00885009765625,0.77587890625
1769060780.7093005,-0.0135498046875,-0.63568115234375,0.0186767578125,0.7716064453125
1769060780.8161576,-0.0057373046875,-0.638671875,0.02655029296875,0.76898193359375
1769060780.922517,0.00714111328125,-0.6298828125,0.052001953125,0.77490234375
1769060781.0302584,0.01788330078125,-0.61322021484375,0.07745361328125,0.785888671875
1769060781.1361759,0.026611328125,-0.6031494140625,0.095947265625,0.7913818359375
1769060781.2429461,0.0347900390625,-0.59814453125,0.11114501953125,0.7928466796875
1769060781.3492932,0.04730224609375,-0.58978271484375,0.129638671875,0.79571533203125
1769060781.455004,0.05902099609375,-0.58380126953125,0.14459228515625,0.7967529296875
1769060781.5601203,0.072998046875,-0.569580078125,0.16400146484375,0.80206298828125
1769060781.667082,0.0823974609375,-0.5614013671875,0.1737060546875,0.80487060546875
1769060781.7725039,0.0960693359375,-0.55615234375,0.181884765625,0.80523681640625
1769060781.8779507,0.10247802734375,-0.55450439453125,0.18634033203125,0.80450439453125
1769060781.9820914,0.1107177734375,-0.5538330078125,0.19287109375,0.8023681640625
1769060782.0893059,0.117431640625,-0.5537109375,0.20269775390625,0.799072265625
1769060782.1928332,0.12359619140625,-0.555419921875,0.2130126953125,0.79425048828125
1769060782.297074,0.1375732421875,-0.55255126953125,0.2288818359375,0.78955078125
1769060782.399694,0.14935302734375,-0.55340576171875,0.23394775390625,0.7852783203125
1769060782.5025704,0.1544189453125,-0.556640625,0.2427978515625,0.779296875
1769060782.6074717,0.16748046875,-0.5540771484375,0.2568359375,0.77392578125
1769060782.713041,0.18408203125,-0.54949951171875,0.2774658203125,0.76629638671875
1769060782.8165977,0.20147705078125,-0.54693603515625,0.2882080078125,0.759765625
1769060782.9230828,0.21002197265625,-0.550048828125,0.2957763671875,0.75225830078125
1769060783.0280988,0.213623046875,-0.547607421875,0.30810546875,0.748046875
1769060783.1314874,0.2276611328125,-0.54083251953125,0.3226318359375,0.74267578125
1769060783.2365081,0.242431640625,-0.53955078125,0.325927734375,0.73748779296875
1769060783.342173,0.25677490234375,-0.53668212890625,0.332275390625,0.7318115234375
1769060783.446833,0.26995849609375,-0.533935546875,0.33636474609375,0.72723388671875
1769060783.5509105,0.281494140625,-0.53314208984375,0.3402099609375,0.7216796875
1769060783.6549807,0.2896728515625,-0.5313720703125,0.34429931640625,0.7177734375
1769060783.758595,0.29998779296875,-0.5291748046875,0.3460693359375,0.71429443359375
1769060783.8607707,0.3123779296875,-0.52618408203125,0.35235595703125,0.70806884765625
1769060783.9632232,0.31689453125,-0.5262451171875,0.3580322265625,0.70318603515625
